transect_id,x1,y1,x2,y2,mid_x,mid_y,mid_lon,mid_lat,lon1,lat1,lon2,lat2
0,16155510.0000006,-4594050.0,16156709.9999994,-4594050.0,16156110.0,-4594050.0,145.13280544916242,-38.10344891448043,145.12741555746308,-38.10344891448043,145.13819534086176,-38.10344891448043
1,16155510.0000003,-4594100.09009009,16156709.9999997,-4594100.09009009,16156110.0,-4594100.09009009,145.13280544916242,-38.10380299164893,145.12741555746038,-38.10380299164893,145.13819534086443,-38.10380299164893
2,16155540.0000003,-4594120.18018018,16156739.9999997,-4594120.18018018,16156140.0,-4594120.18018018,145.13307494374763,-38.10394500413185,145.12768505204562,-38.10394500413185,145.13846483544967,-38.10394500413185
3,16155589.73667503,-4593841.395593858,16156630.26332497,-4594439.144946682,16156110.0,-4594140.27027027,145.13280544916242,-38.10408701633875,145.12813184419653,-38.10197431178635,145.1374790541283,-38.10619965980009
4,16156089.63963964,-4593570.0000003,16156089.63963964,-4594769.9999997,16156089.63963964,-4594170.0,145.1326225489334,-38.10429716842543,145.1326225489334,-38.10005580022066,145.1326225489334,-38.10853829042188
5,16156039.54954955,-4593570.0000003,16156039.54954955,-4594769.9999997,16156039.54954955,-4594170.0,145.1321725819983,-38.10429716842543,145.1321725819983,-38.10005580022066,145.1321725819983,-38.10853829042188
6,16155989.45945946,-4593570.0000003,16155989.45945946,-4594769.9999997,16155989.45945946,-4594170.0,145.13172261506315,-38.10429716842543,145.13172261506315,-38.10005580022066,145.13172261506315,-38.10853829042188
7,16155360.0000003,-4594190.630630631,16156559.9999997,-4594190.630630631,16155960.0,-4594190.630630631,145.13145797623625,-38.10444300088182,145.1260680845342,-38.10444300088182,145.13684786793826,-38.10444300088182
8,16155949.27927928,-4593630.0000003,16155949.27927928,-4594829.9999997,16155949.27927928,-4594230.0,145.13136167036345,-38.10472129170481,145.13136167036345,-38.100479948120466,145.13136167036345,-38.10896238907994
9,16155303.248104649,-4594168.4635975845,16156496.751895351,-4594293.158024037,16155900.0,-4594230.810810811,145.13091898706574,-38.104727023083626,145.12555827358153,-38.10428630799259,145.13627970054998,-38.10516773551616
10,16155300.0000003,-4594280.900900901,16156499.9999997,-4594280.900900901,16155900.0,-4594280.900900901,145.13091898706574,-38.105081094058036,145.12552909536373,-38.105081094058036,145.13630887876778,-38.105081094058036
11,16155940.99099099,-4594889.9999997,16155940.99099099,-4593690.0000003,16155940.99099099,-4594290.0,145.13128721540295,-38.1051454125221,145.13128721540295,-38.10938648527581,145.13128721540295,-38.10090409355828
12,16155961.08108108,-4594919.9999997,16155961.08108108,-4593720.0000003,16155961.08108108,-4594320.0,145.1314676877528,-38.10535747200746,145.1314676877528,-38.10959853245043,145.1314676877528,-38.10111616535392
13,16156011.171171172,-4594919.9999997,16156011.171171172,-4593720.0000003,16156011.171171172,-4594320.0,145.13191765468792,-38.10535747200746,145.13191765468792,-38.10959853245043,145.13191765468792,-38.10111616535392
14,16156061.261261262,-4594919.9999997,16156061.261261262,-4593720.0000003,16156061.261261262,-4594320.0,145.13236762162302,-38.10535747200746,145.13236762162302,-38.10959853245043,145.13236762162302,-38.10111616535392
15,16156709.9999997,-4594318.6486486485,16155510.0000003,-4594318.6486486485,16156110.0,-4594318.6486486485,145.13280544916242,-38.105347919791626,145.13819534086443,-38.105347919791626,145.12741555746038,-38.105347919791626
16,16156131.44144144,-4594889.9999997,16156131.44144144,-4593690.0000003,16156131.44144144,-4594290.0,145.132998060908,-38.1051454125221,145.132998060908,-38.10938648527581,145.132998060908,-38.10090409355828
17,16156151.531531531,-4594859.9999997,16156151.531531531,-4593660.0000003,16156151.531531531,-4594260.0,145.13317853325788,-38.10493335242121,145.13317853325788,-38.10917443748565,145.13317853325788,-38.100692021147125
18,16156201.621621622,-4594859.9999997,16156201.621621622,-4593660.0000003,16156201.621621622,-4594260.0,145.133628500193,-38.10493335242121,145.133628500193,-38.10917443748565,145.133628500193,-38.100692021147125
19,16156251.711711712,-4594859.9999997,16156251.711711712,-4593660.0000003,16156251.711711712,-4594260.0,145.13407846712812,-38.10493335242121,145.13407846712812,-38.10917443748565,145.13407846712812,-38.100692021147125
20,16156271.801801804,-4594889.9999997,16156271.801801804,-4593690.0000003,16156271.801801804,-4594290.0,145.134258939478,-38.1051454125221,145.134258939478,-38.10938648527581,145.134258939478,-38.10090409355828
21,16156321.891891891,-4594889.9999997,16156321.891891891,-4593690.0000003,16156321.891891891,-4594290.0,145.13470890641307,-38.1051454125221,145.13470890641307,-38.10938648527581,145.13470890641307,-38.10090409355828
22,16156371.981981982,-4594889.9999997,16156371.981981982,-4593690.0000003,16156371.981981982,-4594290.0,145.1351588733482,-38.1051454125221,145.1351588733482,-38.10938648527581,145.1351588733482,-38.10090409355828
23,16156392.072072072,-4594919.9999997,16156392.072072072,-4593720.0000003,16156392.072072072,-4594320.0,145.13533934569807,-38.10535747200746,145.13533934569807,-38.10959853245043,145.13533934569807,-38.10111616535392
24,16155810.0000003,-4594352.162162162,16157009.9999997,-4594352.162162162,16156410.0,-4594352.162162162,145.13550039501476,-38.10558481437566,145.13011050331272,-38.10558481437566,145.1408902867168,-38.10558481437566
25,16156432.252252253,-4594979.9999997,16156432.252252253,-4593780.0000003,16156432.252252253,-4594380.0,145.13570029039784,-38.105781589131595,145.13570029039784,-38.11002262495301,145.13570029039784,-38.10154030709871
26,16156482.342342343,-4594979.9999997,16156482.342342343,-4593780.0000003,16156482.342342343,-4594380.0,145.13615025733293,-38.105781589131595,145.13615025733293,-38.11002262495301,145.13615025733293,-38.10154030709871
27,16156532.432432432,-4594979.9999997,16156532.432432432,-4593780.0000003,16156532.432432432,-4594380.0,145.13660022426802,-38.105781589131595,145.13660022426802,-38.11002262495301,145.13660022426802,-38.10154030709871
28,16155960.0000003,-4594402.522522522,16157159.9999997,-4594402.522522522,16156560.0,-4594402.522522522,145.13684786794093,-38.10594079162069,145.13145797623895,-38.10594079162069,145.14223775964297,-38.10594079162069
29,16157189.9999997,-4594397.387387387,16155990.0000003,-4594397.387387387,16156590.0,-4594397.387387387,145.1371173625262,-38.105904493483706,145.1425072542282,-38.105904493483706,145.13172747082416,-38.105904493483706
30,16156020.0000003,-4594382.702702703,16157219.9999997,-4594382.702702703,16156620.0,-4594382.702702703,145.1373868571114,-38.1058006934486,145.1319969654094,-38.1058006934486,145.14277674881345,-38.1058006934486
31,16156642.792792792,-4595009.9999997,16156642.792792792,-4593810.0000003,16156642.792792792,-4594410.0,145.13759160825273,-38.10599364677036,145.13759160825273,-38.110234670280974,145.13759160825273,-38.10175237704784
