transect_id,typical_annual_delta_m
465,360.0
483,-120.0
484,-120.0
485,-120.0
486,-150.0
487,-120.0
488,-300.0
489,-270.0
512,-450.0
516,-420.0
520,-359.9999999999999
557,-15.0
559,0.0
560,0.0
562,-75.0
563,0.0
601,-30.0
605,0.0
606,0.0
607,15.0
610,45.0
612,60.0
613,-75.0
614,-75.0
615,-75.0
616,-60.0
617,-60.0
618,-60.0
619,-75.0
622,0.0
623,0.0
624,150.0
625,120.0
626,0.0
627,135.0
628,135.0
629,0.0
630,120.0
631,150.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,150.0
642,-60.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,30.163289183087386
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,-30.0
664,-30.0
665,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,-30.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,-30.0
681,0.0
682,0.0
683,-30.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,-30.0
696,0.0
697,0.0
698,0.0
699,0.0
700,140.0
701,100.0
702,90.0
703,50.0
704,0.0
705,30.0
706,30.0
707,30.0
708,-120.0
709,-120.0
710,30.0
711,10.0
712,0.0
713,10.0
714,-10.0
715,-10.0
716,0.0
717,0.0
718,0.0
719,0.0
720,10.0
721,10.0
722,10.0
723,10.0
724,10.0
725,10.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,-10.0
738,0.0
739,0.0
740,-10.0
741,0.0
742,0.0
743,10.0
744,-20.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,10.0
751,0.0
752,-10.0
753,-10.0
754,-20.0
755,0.0
756,0.0
757,0.0
758,20.0
759,20.0
760,0.0
761,30.0
762,0.0
763,0.0
764,-10.0
765,0.0
766,0.0
767,-10.0
768,0.0
769,0.0
770,0.0
771,-10.0
772,-10.0
773,0.0
774,0.0
775,0.0
776,0.0
777,-20.0
778,-20.0
779,-30.0
780,0.0
781,-11.05027961061478
782,-50.0
783,0.0
784,0.0
785,-20.0
786,0.0
787,20.0
788,0.0
789,40.0
790,-70.0
791,10.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,-10.0
800,10.0
801,10.0
802,10.0
803,10.0
804,10.0
805,-30.0
806,-30.0
807,20.0
808,-20.0
809,-30.0
810,10.0
811,20.0
812,-10.0
813,0.0
814,0.0
815,-10.0
816,0.0
817,0.0
818,0.0
819,30.0
820,0.0
821,0.0
822,-30.0
823,20.0
824,20.0
825,0.0
827,-30.0
828,-40.0
829,-40.0
831,20.0
832,-240.0
833,-1.8947806286936004e-14
834,0.0
835,-10.0
836,-10.0
837,-10.0
838,-10.0
839,0.0
840,10.0
841,0.0
842,0.0
843,10.0
844,50.0
845,-15.0
846,-10.0
847,-30.0
848,0.0
849,-15.0
850,-80.0
851,-30.0
852,-20.0
853,0.0
854,0.0
855,60.0
856,-15.0
857,-15.0
858,0.0
862,-30.0
863,-30.0
864,0.0
865,-15.0
866,-15.0
867,0.0
868,0.0
869,0.0
870,240.0
871,-30.0
873,0.0
874,0.0
875,0.0
876,0.0
877,30.0
878,15.0
879,0.0
880,0.0
881,0.0
882,-15.0
883,15.0
884,15.0
885,-15.0
886,30.0
887,0.0
888,0.0
889,-15.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,90.0
896,30.39256869212386
897,30.0
898,-60.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,-15.0
906,0.0
907,-15.0
908,0.0
909,15.0
910,0.0
911,0.0
912,0.0
913,0.0
914,-30.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,-30.0
921,-30.0
922,-30.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,15.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,15.0
939,15.0
940,15.0
941,0.0
942,75.0
943,15.0
944,15.0
945,30.0
946,30.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,-15.0
959,-30.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,-30.0
967,-15.0
968,0.0
969,0.0
970,0.0
971,0.0
972,-15.0
973,-15.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,-90.0
987,-15.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,-15.0
996,0.0
997,0.0
998,0.0
999,0.0
